epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3931.05,1.37703,0.8666,1.54699,0.93645,0.92105,0.96662,0.61548,1.25777,0.74883,1.45223,0.00072835,0.00072835,0.00072835
43,3971.96,1.42601,0.88173,1.56724,0.95233,0.83237,0.95068,0.59523,1.29834,0.88854,1.46717,0.000699244,0.000699244,0.000699244
44,4021.46,1.43087,0.91768,1.59065,0.97112,0.9375,0.96498,0.5674,1.40867,0.98472,1.55542,0.000670228,0.000670228,0.000670228
45,4064.71,1.41039,0.88113,1.55537,1,0.95202,0.96924,0.55777,1.34283,0.87578,1.53593,0.000641347,0.000641347,0.000641347
46,4122.25,1.42015,0.87569,1.55209,0.97795,0.924,0.97399,0.58866,1.31899,0.82817,1.47508,0.000612645,0.000612645,0.000612645
47,4166.85,1.48157,0.8964,1.61374,0.98769,0.91667,0.96779,0.6615,1.14808,0.76052,1.38199,0.000584167,0.000584167,0.000584167
48,4205.2,1.42156,0.88982,1.5747,0.99442,0.91667,0.96117,0.52343,1.41829,0.83804,1.5631,0.000555955,0.000555955,0.000555955
49,4233.99,1.40302,0.84492,1.51461,0.83828,0.9375,0.96791,0.60623,1.26729,0.95075,1.46092,0.000528055,0.000528055,0.000528055
50,4282.34,1.41025,0.89781,1.55384,0.91749,0.92672,0.96754,0.60901,1.30675,0.85901,1.46507,0.000500508,0.000500508,0.000500508
51,4357.24,1.3835,0.82374,1.558,0.99574,0.9375,0.97298,0.63286,1.22127,0.74187,1.41092,0.000473358,0.000473358,0.000473358
52,4399.98,1.35835,0.83665,1.53172,1,0.93426,0.97807,0.63729,1.22182,0.70783,1.43277,0.000446645,0.000446645,0.000446645
53,4446.82,1.35865,0.82147,1.53654,0.99484,0.9375,0.97545,0.60959,1.29584,0.76354,1.46351,0.000420412,0.000420412,0.000420412
54,4480.1,1.29423,0.7895,1.4844,0.99141,0.9375,0.97212,0.6444,1.20092,0.76981,1.38705,0.000394699,0.000394699,0.000394699
55,4525.74,1.35806,0.83391,1.54175,0.99624,0.9375,0.97763,0.57272,1.39128,0.84637,1.47462,0.000369545,0.000369545,0.000369545
56,4558.04,1.36813,0.81796,1.52815,1,0.9347,0.97372,0.64297,1.19749,0.7221,1.38259,0.000344989,0.000344989,0.000344989
57,4605.63,1.34653,0.83653,1.51699,0.99463,0.9375,0.97383,0.62259,1.25307,0.72222,1.42071,0.000321069,0.000321069,0.000321069
58,4656.84,1.32529,0.80845,1.45681,0.99236,0.9375,0.96796,0.60581,1.27583,0.73332,1.44227,0.000297823,0.000297823,0.000297823
59,4707.13,1.28412,0.78252,1.45145,0.99323,0.9375,0.97261,0.66281,1.17572,0.70356,1.36793,0.000275285,0.000275285,0.000275285
60,4741.17,1.27423,0.73529,1.4642,0.99685,0.9375,0.97698,0.61887,1.26652,0.72511,1.42093,0.00025349,0.00025349,0.00025349
61,4792.43,1.39712,0.84581,1.52455,0.99774,0.9375,0.97974,0.62853,1.21727,0.69551,1.40458,0.000232473,0.000232473,0.000232473
62,4820.64,1.29136,0.77197,1.43229,0.99055,0.9375,0.97715,0.66368,1.15949,0.65894,1.37942,0.000212266,0.000212266,0.000212266
